









Frequency of observations in the selected location(s).:
Number of taxa: 	190

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	4.0	1.0	2.0	1.0	0.0	1.0	1.0	0.0	2.0	9.0	11.0	22.0	44.0	29.0	22.0	16.0	5.0	8.0	3.0	5.0	0.0	2.0	10.0	10.0	8.0	2.0	3.0	7.0	4.0	3.0	4.0	10.0	13.0	4.0	3.0	16.0	10.0	9.0	9.0	15.0	17.0	12.0	11.0	8.0	6.0	2.0	2.0	1.0	

Canada Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111111111111	0.5454545454545454	0.6818181818181818	0.6590909090909091	0.8275862068965517	0.8181818181818182	0.75	0.6	0.75	0.6666666666666666	0.4	0.0	0.5	0.0	0.1	0.125	0.0	1.0	0.42857142857142855	0.5	0.3333333333333333	0.0	0.3	0.0	0.0	0.0	0.125	0.5	0.4444444444444444	0.1111111111111111	0.2	0.23529411764705882	0.25	0.36363636363636365	0.375	0.3333333333333333	0.0	0.0	0.0015	
Mute Swan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	
Wood Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111111111111	0.6363636363636364	0.6363636363636364	0.6363636363636364	0.6206896551724138	0.7272727272727273	0.5625	0.4	0.5	0.6666666666666666	0.6	0.0	0.5	0.3	0.4	0.5	0.5	0.6666666666666666	0.2857142857142857	0.5	0.6666666666666666	0.25	0.5	0.5384615384615384	0.75	0.6666666666666666	0.5625	0.8	0.4444444444444444	0.8888888888888888	0.6666666666666666	0.47058823529411764	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	
Blue-winged Teal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.09090909090909091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07692307692307693	0.0	0.0	0.0625	0.0	0.0	0.2222222222222222	0.06666666666666667	0.058823529411764705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Northern Shoveler	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09090909090909091	0.045454545454545456	0.0	0.06896551724137931	0.045454545454545456	0.0625	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.1	0.0	0.0	0.0	0.17647058823529413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Gadwall	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36363636363636365	0.18181818181818182	0.18181818181818182	0.2413793103448276	0.045454545454545456	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.13333333333333333	0.29411764705882354	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Eurasian Wigeon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
American Wigeon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09090909090909091	0.13636363636363635	0.11363636363636363	0.034482758620689655	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0625	0.1	0.0	0.1111111111111111	0.3333333333333333	0.29411764705882354	0.0	0.18181818181818182	0.0	0.0	0.0	0.0	0.0	
